millis,sens0,sens1,sens2
6600,471,453,460
6700,465,453,470
6800,455,458,471
6900,450,459,474
7000,464,456,474
7100,478,465,472
7200,467,458,471
7300,452,458,471
7400,462,448,470
7500,458,460,470
7600,456,467,470
7700,466,464,475
7800,460,465,464
7900,481,464,471
8000,479,469,474
8100,469,462,470
8200,487,476,468
8300,468,475,474
8400,468,460,468
8500,470,485,482
8600,467,451,481
8700,475,482,458
8800,450,442,460
8900,478,476,415
9000,470,445,506
9100,456,466,494
9200,451,356,562
9300,451,402,521
9400,509,515,456
9500,445,480,469
9600,455,502,454
9700,448,443,441
9800,450,448,525
9900,501,536,502
10000,444,484,469
10100,436,479,466
10200,391,476,474
10300,517,474,477
10400,458,467,482
10500,473,468,472
10600,476,466,472
10700,460,463,471
10800,471,460,468
10900,442,459,464
11000,445,456,478
11100,457,451,469
11200,496,451,463
11300,449,452,469
11400,449,458,476
11500,463,443,479
11600,518,447,454
11700,468,429,461
11800,464,459,460
11900,470,458,466
12000,458,469,457
12100,475,411,489
12200,450,464,482
12300,495,496,488
12400,461,463,478
12500,503,470,478
12600,468,423,481
12700,463,435,515
12800,473,472,452
12900,471,478,440
13000,514,448,503
13100,495,546,486
13200,434,507,488
13300,418,435,494
13400,463,393,513
13500,445,507,496
13600,471,485,485
13700,460,481,490
13800,446,465,469
13900,437,461,472
14000,444,463,480
14100,469,464,472
14200,462,460,470
14300,462,479,471
14400,467,460,469
14500,480,452,468
14600,492,454,472
14700,451,465,465
14800,473,467,467
14900,436,467,472
15000,465,461,470
15100,449,465,474
15200,473,468,479
15300,468,459,470
15400,463,461,470
15500,459,460,477
15600,460,469,481
15700,454,461,471
15800,448,478,461
15900,496,501,471
16000,443,466,472
16100,469,483,474
16200,455,466,469
16300,449,471,462
16400,436,460,479
16500,490,476,478
16600,429,464,448
16700,460,418,460
16800,446,414,493
16900,480,492,484
17000,463,468,463
17100,447,482,462
17200,531,451,452
17300,455,406,488
17400,464,427,472
17500,451,474,485
17600,469,505,442
17700,483,492,463
17800,454,487,450
17900,494,378,450
18000,425,459,473
18100,462,448,481
18200,461,494,482
18300,464,466,467
18400,437,460,466
18500,487,464,467
18600,476,464,470
18700,448,461,468
18800,459,464,469
18900,464,465,474
19000,466,465,470
19100,486,462,475
19200,479,464,467
19300,457,464,455
19400,462,457,475
19500,466,462,485
19600,434,467,473
19700,470,464,459
19800,453,464,477
19900,508,455,466
20000,469,465,463
20100,446,475,472
20200,468,455,479
20300,498,480,466
20400,465,456,475
20500,434,472,443
20600,453,417,486
20700,456,451,439
20800,459,468,468
20900,456,524,494
21000,470,464,492
21100,472,505,487
21200,487,484,461
21300,476,484,452
21400,544,410,433
21500,458,495,467
21600,469,512,478
21700,463,488,460
21800,459,470,423
21900,446,478,505
22000,459,522,484
22100,517,467,460
22200,465,510,478
22300,441,348,519
22400,430,457,458
22500,474,447,433
22600,463,402,511
22700,472,469,491
22800,454,465,482
22900,512,463,471
23000,472,468,497
23100,481,464,465
23200,484,456,472
23300,458,455,464
23400,463,454,467
23500,470,457,484
23600,467,465,465
23700,481,462,469
23800,442,463,481
23900,458,464,464
24000,483,463,471
24100,480,460,472
24200,486,465,468
24300,464,464,473
24400,459,468,470
24500,452,459,476
24600,457,464,466
24700,482,466,472
24800,463,475,481
24900,441,480,469
25000,491,457,467
25100,467,476,473
25200,440,456,460
25300,460,410,490
25400,455,444,440
25500,470,414,458
25600,488,495,466
25700,486,469,430
25800,471,478,493
25900,497,534,466
26000,455,495,470
26100,479,436,493
26200,418,523,496
26300,449,514,458
26400,515,489,355
26500,476,458,463
26600,484,443,502
26700,475,449,370
26800,427,361,535
26900,453,470,450
27000,453,463,475
27100,453,461,476
27200,449,456,479
27300,463,464,464
27400,519,460,469
27500,505,463,467
27600,465,451,469
27700,451,462,463
27800,499,465,469
27900,485,464,470
28000,449,462,469
28100,485,465,470
28200,463,471,485
28300,460,464,463
28400,462,463,465
28500,453,458,453
28600,454,459,456
28700,470,465,470
28800,453,494,488
28900,467,467,475
29000,494,467,471
29100,450,486,479
29200,476,458,464
29300,483,409,476
29400,459,510,475
29500,450,485,499
29600,462,443,482
29700,492,502,502
29800,534,395,502
29900,519,495,468
30000,429,465,503
30100,459,511,466
30200,458,454,473
30300,420,507,500
30400,534,516,435
30500,407,406,490
30600,443,440,476
30700,479,459,470
30800,457,463,484
30900,449,453,474
31000,452,453,490
31100,468,454,471
31200,453,457,472
31300,464,454,472
31400,471,455,475
31500,455,455,478
31600,472,451,467
31700,460,457,455
31800,466,460,470
31900,464,459,474
32000,472,462,463
32100,465,463,462
32200,467,463,474
32300,450,460,469
32400,467,467,471
32500,477,477,465
32600,455,467,464
32700,465,438,488
32800,470,466,488
32900,491,470,481
33000,470,475,476
33100,471,446,460
33200,486,445,482
33300,461,458,467
33400,449,459,449
33500,451,461,472
33600,459,511,489
33700,463,471,460
33800,459,504,464
33900,500,446,476
34000,449,449,462
34100,444,454,460
34200,470,483,466
34300,490,491,415
34400,443,484,471
34500,425,452,459
34600,425,418,502
34700,454,417,494
34800,550,505,456
34900,385,450,446
35000,438,449,429
35100,435,468,469
35200,448,469,470
35300,427,465,472
35400,479,464,467
35500,451,465,469
35600,469,462,462
35700,456,462,472
35800,462,463,465
35900,447,466,487
36000,487,464,470
36100,452,468,484
36200,515,461,471
36300,465,458,461
36400,450,462,462
36500,469,469,461
36600,459,448,459
36700,503,482,486
36800,468,478,485
36900,493,460,478
37000,449,431,483
37100,433,433,493
37200,465,488,437
37300,446,426,494
37400,464,472,476
37500,481,476,472
37600,452,445,491
37700,452,503,479
37800,451,467,422
37900,438,445,401
38000,439,391,469
38100,472,445,506
38200,482,468,530
38300,492,493,475
38400,456,478,483
38500,428,470,493
38600,440,468,479
38700,428,467,477
38800,448,459,473
38900,461,465,470
39000,448,458,469
39100,480,460,468
39200,468,455,466
39300,463,456,471
39400,460,455,470
39500,448,463,468
39600,472,463,471
39700,488,461,467
39800,453,454,470
39900,480,460,475
